suburb_median,rooms,distance,bedrooms,bathrooms,cars,landsize,lattitude,longtitude,price
1280000,2,2.5,2,1,1,202,-37.7996,144.9984,1480000
1280000,2,2.5,2,1,0,156,-37.8079,144.9934,1035000
1280000,3,2.5,3,2,0,134,-37.8093,144.9944,1465000
1280000,3,2.5,3,2,1,94,-37.7969,144.9969,850000
1280000,4,2.5,3,1,2,120,-37.8072,144.9941,1600000
1280000,2,2.5,2,1,0,181,-37.8041,144.9953,941000
1280000,3,2.5,4,2,0,245,-37.8024,144.9993,1876000
1280000,2,2.5,2,1,2,256,-37.806,144.9954,1636000
1280000,2,2.5,3,1,2,220,-37.801,144.9989,1097000
1280000,3,2.5,3,2,2,214,-37.8085,144.9964,1350000
1280000,2,2.5,2,1,1,195,-37.8084,144.9973,1172500
1280000,2,2.5,2,1,2,238,-37.809,144.9976,1310000
1280000,3,2.5,3,2,1,113,-37.8056,144.993,1200000
1280000,3,2.5,2,1,1,138,-37.8021,144.9965,1176500
1280000,3,2.5,3,1,0,183,-37.8022,144.9975,955000
1280000,2,2.5,2,1,1,150,-37.8011,145.0004,890000
1280000,4,2.5,4,2,2,780,-37.8073,144.9952,1330000
1280000,2,2.5,2,2,1,124,-37.8079,144.9977,1100000
1280000,2,2.5,2,1,0,147,-37.808,144.994,1315000
1280000,3,2.5,3,3,1,166,-37.8017,145.0001,1447500
1280000,2,2.5,2,2,2,98,-37.8005,144.9952,1135000
1280000,4,2.5,4,3,1,0,-37.7994,144.9965,1542000
1280000,3,2.5,3,2,2,147,-37.805,144.9943,1290000
1280000,3,2.5,3,1,1,168,-37.8007,144.9958,1290000
1280000,2,2.5,2,1,0,162,-37.8016,144.9956,1180000
1280000,3,2.5,3,2,1,120,-37.8022,144.9954,1195000
1280000,2,2.5,2,1,0,182,-37.8021,144.9976,1012500
1280000,2,2.5,2,1,1,172,-37.8086,144.9946,1030000
845000,3,13.5,3,2,1,0,-37.7203,144.8755,730000
845000,3,13.5,3,2,1,0,-37.7203,144.8755,770000
845000,2,13.5,2,1,1,272,-37.7294,144.888,603000
845000,3,13.5,2,1,1,290,-37.7273,144.8744,600000
845000,3,13.5,2,1,1,620,-37.7173,144.8872,720000
845000,4,13.5,3,1,2,597,-37.7259,144.8792,785000
845000,6,13.5,6,3,2,976,-37.7239,144.8735,725000
845000,3,13.5,3,1,6,1063,-37.7249,144.8728,895000
845000,3,13.5,3,1,1,0,-37.7217,144.8783,805000
845000,5,13.5,3,2,2,596,-37.7248,144.8699,755000
845000,3,13.5,3,1,2,971,-37.7186,144.876,830000
845000,3,13.5,3,2,2,657,-37.7269,144.8742,670000
845000,2,13.5,2,1,1,612,-37.7187,144.8765,675000
845000,3,13.5,3,2,5,612,-37.7173,144.8796,1042000
845000,3,13.5,3,1,1,775,-37.7231,144.8835,910000
845000,4,13.5,5,3,4,531,-37.7263,144.8679,773000
845000,3,13.5,3,3,2,555,-37.7285,144.8694,810000
845000,3,13.5,3,2,2,422,-37.7164,144.8792,715000
845000,3,13.5,3,1,3,614,-37.7194,144.8827,790000
845000,3,13.5,3,1,1,579,-37.7226,144.8733,685000
845000,3,13.5,3,1,1,623,-37.7184,144.882,805000
845000,3,13.5,3,2,1,212,-37.7181,144.8824,612000
845000,3,13.5,3,1,2,612,-37.7169,144.8815,662000
845000,4,13.5,4,3,2,532,-37.7263,144.869,978000
845000,3,13.5,3,1,1,585,-37.72,144.878,720000
845000,4,13.5,4,1,2,509,-37.7261,144.8785,765000
845000,4,13.5,4,2,3,628,-37.7256,144.8739,900000
2150000,2,3.3,2,1,0,120,-37.8459,144.9555,1275000
2150000,2,3.3,2,1,0,159,-37.845,144.9538,1455000
2150000,3,3.3,3,2,0,211,-37.8481,144.9499,2850000
2150000,3,3.3,3,2,0,128,-37.8452,144.9488,1850000
2150000,2,3.3,2,1,0,130,-37.8431,144.9565,1436000
2150000,2,3.3,1,1,0,147,-37.8444,144.9484,1110000
2150000,2,3.3,2,1,1,167,-37.8405,144.9521,1550000
